"","classes","clump_thickness","uniformity_of_cell_size","uniformity_of_cell_shape","marginal_adhesion","single_epithelial_cell_size","bare_nuclei","bland_chromatin","normal_nucleoli","mitosis"
"classes",0.904919430541379,1.91783595886059,2.3741857996073,2.3152067423376,1.89267926755783,1.43821915056712,2.84562063693119,1.75500817787179,2.06895237158282,0.690405040356465
"clump_thickness",1.91783595886059,7.92839545646462,5.54116400424675,5.4776901918828,3.91030780771548,3.25346893433517,6.09207996687859,3.8340568392833,4.60723464958127,1.69038864362106
"uniformity_of_cell_size",2.3741857996073,5.54116400424675,9.31140269972249,8.22421305917992,6.14778582584207,5.07979061368881,7.67551885419613,5.62299396190219,6.7356825755992,2.40056609729003
"uniformity_of_cell_shape",2.3152067423376,5.4776901918828,8.22421305917992,8.83226549593976,5.79656775336031,4.73592647703842,7.70582002123377,5.33312837414071,6.52907141188189,2.23715623219417
"marginal_adhesion",1.89267926755783,3.91030780771548,6.14778582584207,5.79656775336031,8.15319059975159,3.79106459903833,6.8768953601338,4.64197523273116,5.26080032465536,2.04523039462843
"single_epithelial_cell_size",1.43821915056712,3.25346893433517,5.07979061368881,4.73592647703842,3.79106459903833,4.90312398801399,4.66977589761878,3.32649999385122,4.25227812142602,1.81948219109575
"bare_nuclei",2.84562063693119,6.09207996687859,7.67551885419613,7.70582002123377,6.8768953601338,4.66977589761878,13.1894847735816,6.03567519706826,6.48991600772286,2.10328918512324
"bland_chromatin",1.75500817787179,3.8340568392833,5.62299396190219,5.33312837414071,4.64197523273116,3.32649999385122,6.03567519706826,5.9456202270128,4.95804075408586,1.43931158306381
"normal_nucleoli",2.06895237158282,4.60723464958127,6.7356825755992,6.52907141188189,5.26080032465536,4.25227812142602,6.48991600772286,4.95804075408586,9.32467995622072,2.2432886112375
"mitosis",0.690405040356465,1.69038864362106,2.40056609729003,2.23715623219417,2.04523039462843,1.81948219109575,2.10328918512324,1.43931158306381,2.2432886112375,2.94149234887334
